release_year,rank_in_year,imdb_rating,mpaa_rating,film_title,film_budget,length_in_min,domestic_distributor,worldwide_gross,domestic_gross,genre_1,genre_2,genre_3,marvel_flag
2008,6,6.6,PG,Madagascar: Escape 2 Africa,150000000,89,DreamWorks,603900354,180010950,Animation,Adventure,Comedy,0
2008,7,6.6,PG-13,Quantum of Solace,200000000,106,Sony Pictures,589580482,168368427,Action,Adventure,Thriller,0
2008,8,7.9,PG-13,Iron Man ,140000000,126,Paramount Pictures,585366247,318604126,Action,Adventure,Sci-Fi,1
2008,9,8.4,G,WALL·E,180000000,98,Walt Disney ,521311860,223808164,Animation,Adventure,Family,0
2008,10,6.5,PG,The Chronicles of Narnia: Prince Caspian,225000000,150,Walt Disney ,419665568,141621490,Action,Adventure,Family,0
2007,1,7.1,PG-13,Pirates of the Caribbean: At World's End,300000000,169,Walt Disney ,960996492,309420425,Action,Adventure,Fantasy,0
2007,2,7.5,PG-13,Harry Potter and the Order of the Phoenix,150000000,138,Warner Bros.,941676843,292004738,Action,Adventure,Family,0
2007,3,6.2,PG-13,Spider-Man 3,258000000,139,Sony Pictures,894983373,336530303,Action,Sci-Fi,,1
2007,4,6,PG,Shrek the Third,160000000,93,DreamWorks,813367380,322719944,Animation,Adventure,Comedy,0
2007,5,7,PG-13,Transformers,150000000,144,DreamWorks,709709780,319246193,Action,Adventure,Sci-Fi,0
2007,6,8,G,Ratatouille,150000000,111,Walt Disney ,623726085,206445654,Animation,Adventure,Comedy,0
2007,7,7.2,PG-13,I Am Legend,150000000,101,Warner Bros.,585410052,256393010,Adventure,Drama,Sci-Fi,0
2007,8,7.3,PG-13,The Simpsons Movie,75000000,87,Twentieth Century Fox,536414270,183135014,Animation,Adventure,Comedy,0
2007,9,6.5,PG,National Treasure: Book of Secrets,130000000,124,Walt Disney ,459242249,219964115,Action,Adventure,Mystery,0
2007,10,7.6,R,300,65000000,117,Warner Bros.,456068181,210614939,Action,Drama,,0
2006,1,7.3,PG-13,Pirates of the Caribbean: Dead Man's Chest,225000000,151,Walt Disney ,1066179725,423315812,Action,Adventure,Fantasy,0
2006,2,6.6,PG-13,The Da Vinci Code,125000000,149,Sony Pictures,760006945,217536138,Action,Mystery,Thriller,0
2006,3,6.8,PG,Ice Age: The Meltdown,80000000,91,Twentieth Century Fox,660998756,195330621,Animation,Adventure,Comedy,0
2006,4,8,PG-13,Casino Royale,150000000,144,Sony Pictures,606099584,167445960,Action,Adventure,Thriller,0
2006,5,6.4,PG,Night at the Museum,110000000,108,Twentieth Century Fox,574480841,250863268,Adventure,Comedy,Family,0
2006,6,7.1,G,Cars,120000000,117,Walt Disney ,461983149,244082982,Animation,Comedy,Family,0
2006,7,6.7,PG-13,X-Men: The Last Stand,210000000,104,Twentieth Century Fox,460435291,234362462,Action,Sci-Fi,,1
2006,8,6.9,PG-13,Mission: Impossible III,150000000,126,Paramount Pictures,398479497,134029801,Action,Adventure,Thriller,0
